id,loan_status
58645,0.957808564231738
58646,0.03869560225054541
58647,0.27813852813852813
58648,0.020971904190746193
58649,0.10826446280991736
58650,0.957808564231738
58651,0.020971904190746193
58652,0.020971904190746193
58653,0.07859454461396209
58654,0.03869560225054541
58655,0.03869560225054541
58656,0.08207343412526998
58657,0.08207343412526998
58658,0.020971904190746193
58659,0.03869560225054541
58660,0.08207343412526998
58661,0.020971904190746193
58662,0.08207343412526998
58663,0.020971904190746193
58664,0.020971904190746193
58665,0.08207343412526998
58666,0.03869560225054541
58667,0.020971904190746193
58668,0.020971904190746193
58669,0.020971904190746193
58670,0.020971904190746193
58671,0.08207343412526998
58672,0.020971904190746193
58673,0.9600886917960089
58674,0.020971904190746193
58675,0.020971904190746193
58676,0.09017713365539452
58677,0.020971904190746193
58678,0.020971904190746193
58679,0.07859454461396209
58680,0.957808564231738
58681,0.020971904190746193
58682,0.020971904190746193
58683,0.09017713365539452
58684,0.08207343412526998
58685,0.07859454461396209
58686,0.03869560225054541
58687,0.10826446280991736
58688,0.020971904190746193
58689,0.09017713365539452
58690,0.020971904190746193
58691,0.020971904190746193
58692,0.020971904190746193
58693,0.020971904190746193
58694,0.03869560225054541
58695,0.8095238095238095
58696,0.020971904190746193
58697,0.10826446280991736
58698,0.020971904190746193
58699,0.020971904190746193
58700,0.020971904190746193
58701,0.020971904190746193
58702,0.020971904190746193
58703,0.08207343412526998
58704,0.08207343412526998
58705,0.08207343412526998
58706,0.03869560225054541
58707,0.020971904190746193
58708,0.020971904190746193
58709,0.9526098901098901
58710,0.03869560225054541
58711,0.9526098901098901
58712,0.020971904190746193
58713,0.020971904190746193
58714,0.08207343412526998
58715,0.020971904190746193
58716,0.08207343412526998
58717,0.020971904190746193
58718,0.10826446280991736
58719,0.020971904190746193
58720,0.020971904190746193
58721,0.08207343412526998
58722,0.27813852813852813
58723,0.03869560225054541
58724,0.03869560225054541
58725,0.020971904190746193
58726,0.020971904190746193
58727,0.10826446280991736
58728,0.07859454461396209
58729,0.020971904190746193
58730,0.08207343412526998
58731,0.03869560225054541
58732,0.03869560225054541
58733,0.020971904190746193
58734,0.020971904190746193
58735,0.020971904190746193
58736,0.09017713365539452
